Sex,Age,Population
Male,43,645
Male,43,1469
Male,43,246
Male,43,919
Male,43,472
Male,43,482
Male,43,632
Male,43,1186
Male,43,477
Male,44,37940
Male,44,448
Male,44,4210
Male,44,1566
Male,44,2707
Male,44,2330
Male,44,1971
Male,44,800
Male,44,712
Male,44,334
Male,44,1002
Male,44,1748
Male,44,617
Male,44,679
Male,44,1114
Male,44,1224
Male,44,884
Male,44,1535
Male,44,2778
Male,44,1179
Male,44,1503
Male,44,1172
Male,44,930
Male,44,613
Male,44,1449
Male,44,264
Male,44,955
Male,44,478
Male,44,506
Male,44,586
Male,44,1181
Male,44,465
Male,45,37710
Male,45,447
Male,45,4016
Male,45,1443
Male,45,2788
Male,45,2222
Male,45,1959
Male,45,770
Male,45,721
Male,45,365
Male,45,968
Male,45,1719
Male,45,623
Male,45,701
Male,45,1166
Male,45,1194
Male,45,936
Male,45,1495
Male,45,2866
Male,45,1147
Male,45,1566
Male,45,1237
Male,45,921
Male,45,584
Male,45,1462
Male,45,267
Male,45,931
Male,45,481
Male,45,492
Male,45,538
Male,45,1193
Male,45,492
Male,46,37289
Male,46,463
Male,46,3858
Male,46,1546
Male,46,2681
Male,46,2145
Male,46,1957
Male,46,807
Male,46,665
Male,46,333
Male,46,1055
Male,46,1770
Male,46,638
Male,46,644
Male,46,1137
Male,46,1171
Male,46,902
Male,46,1520
Male,46,2783
Male,46,1089
Male,46,1541
Male,46,1194
Male,46,878
Male,46,577
Male,46,1464
Male,46,244
Male,46,974
Male,46,481
Male,46,469
Male,46,587
Male,46,1239
Male,46,477
Male,47,37053
Male,47,453
Male,47,3801
Male,47,1510
Male,47,2715
Male,47,2105
Male,47,1933
Male,47,738
Male,47,684
Male,47,355
Male,47,986
Male,47,1778
Male,47,622
Male,47,712
Male,47,1126
Male,47,1208
Male,47,882
Male,47,1501
Male,47,2801
Male,47,1151
Male,47,1505
Male,47,1258
Male,47,886
Male,47,569
Male,47,1412
Male,47,244
Male,47,919
Male,47,529
Male,47,508
Male,47,588
Male,47,1119
Male,47,455
Male,48,36472
Male,48,411
Male,48,3741
Male,48,1561
Male,48,2614
Male,48,2084
Male,48,1930
Male,48,796
Male,48,665
Male,48,307
Male,48,1010
Male,48,1692
Male,48,596
Male,48,656
Male,48,1159
Male,48,1190
Male,48,958
Male,48,1394
Male,48,2820
Male,48,1138
Male,48,1450
Male,48,1167
Male,48,885
Male,48,483
Male,48,1464
Male,48,243
Male,48,905
Male,48,508
Male,48,466
Male,48,562
Male,48,1151
Male,48,466
Male,49,36650
Male,49,453
Male,49,3701
Male,49,1555
Male,49,2562
Male,49,2070
Male,49,1921
Male,49,816
Male,49,661
Male,49,366
Male,49,1025
Male,49,1751
Male,49,611
Male,49,684
Male,49,1184
Male,49,1196
Male,49,941
Male,49,1466
Male,49,2691
Male,49,1100
Male,49,1474
Male,49,1242
Male,49,909
Male,49,489
Male,49,1463
Male,49,238
Male,49,918
Male,49,502
Male,49,448
Male,49,555
Male,49,1187
Male,49,471
Male,50,36050
Male,50,443
Male,50,3753
Male,50,1494
Male,50,2434
Male,50,1926
Male,50,1911
Male,50,726
Male,50,692
Male,50,309
Male,50,1050
Male,50,1700
Male,50,594
Male,50,673
Male,50,1193
Male,50,1156
Male,50,946
Male,50,1424
Male,50,2708
Male,50,1164
Male,50,1496
Male,50,1131
Male,50,869
Male,50,469
Male,50,1392
Male,50,264
Male,50,971
Male,50,488
Male,50,424
Male,50,604
Male,50,1185
Male,50,461
Male,51,34926
Male,51,379
Male,51,3567
Male,51,1470
Male,51,2252
Male,51,1894
Male,51,1821
Male,51,694
Male,51,660
Male,51,328
Male,51,1025
Male,51,1587
Male,51,537
Male,51,654
Male,51,1182
Male,51,1177
Male,51,916
Male,51,1372
Male,51,2684
Male,51,1120
Male,51,1413
Male,51,1174
Male,51,867
Male,51,498
Male,51,1406
Male,51,225
Male,51,955
Male,51,495
Male,51,495
Male,51,537
Male,51,1129
Male,51,413
Male,52,34356
Male,52,420
Male,52,3453
Male,52,1409
Male,52,2153
Male,52,1855
Male,52,1749
Male,52,742
Male,52,656
Male,52,319
Male,52,974
Male,52,1594
Male,52,555
Male,52,652
Male,52,1179
Male,52,1104
Male,52,919
Male,52,1340
Male,52,2555
Male,52,1148
Male,52,1414
Male,52,1148
Male,52,836
Male,52,466
Male,52,1360
Male,52,247
Male,52,925
Male,52,513
Male,52,463
Male,52,557
Male,52,1195
Male,52,456
Male,53,32611
Male,53,400
Male,53,3331
Male,53,1332
Male,53,2013
Male,53,1733
Male,53,1611
Male,53,700
Male,53,618
Male,53,296
Male,53,958
Male,53,1464
Male,53,546
Male,53,645
Male,53,1099
Male,53,989
Male,53,873
Male,53,1263
Male,53,2452
Male,53,1099
Male,53,1285
Male,53,1136
Male,53,881
Male,53,424
Male,53,1308
Male,53,243
Male,53,880
Male,53,468
Male,53,438
Male,53,553
Male,53,1141
Male,53,432
Male,54,32050
Male,54,423
Male,54,3389
Male,54,1291
Male,54,1882
Male,54,1649
Male,54,1580
Male,54,659
Male,54,600
Male,54,315
Male,54,911
Male,54,1447
Male,54,579
Male,54,605
Male,54,1058
Male,54,973
Male,54,850
Male,54,1305
Male,54,2325
Male,54,1052
Male,54,1307
Male,54,1124
Male,54,806
Male,54,418
Male,54,1321
Male,54,244
Male,54,919
Male,54,445
Male,54,487
Male,54,538
Male,54,1144
Male,54,404
Male,55,31353
Male,55,412
Male,55,3075
Male,55,1334
Male,55,1805
Male,55,1622
Male,55,1513
Male,55,698
Male,55,605
Male,55,275
Male,55,854
Male,55,1355
Male,55,494
Male,55,591
Male,55,1081
Male,55,961
Male,55,867
Male,55,1278
Male,55,2455
Male,55,1007
Male,55,1298
Male,55,1109
Male,55,872
Male,55,408
Male,55,1306
Male,55,242
Male,55,903
Male,55,491
Male,55,451
Male,55,542
Male,55,1075
Male,55,374
Male,56,30684
Male,56,377
Male,56,3168
Male,56,1249
Male,56,1695
Male,56,1483
Male,56,1504
Male,56,679
Male,56,554
Male,56,283
Male,56,877
Male,56,1352
Male,56,535
Male,56,542
Male,56,1013
Male,56,985
Male,56,828
Male,56,1286
Male,56,2364
Male,56,1042
Male,56,1227
Male,56,1130
Male,56,828
Male,56,438
Male,56,1238
Male,56,224
Male,56,888
Male,56,461
Male,56,415
Male,56,550
Male,56,1062
Male,56,407
Male,57,30891
Male,57,355
Male,57,3166
Male,57,1295
Male,57,1672
Male,57,1491
Male,57,1464
Male,57,666
Male,57,522
Male,57,307
Male,57,845
Male,57,1425
Male,57,532
Male,57,585
Male,57,1080
Male,57,1038
Male,57,824
Male,57,1282
Male,57,2338
Male,57,1027
Male,57,1253
Male,57,1157
Male,57,820
Male,57,419
Male,57,1262
Male,57,245
Male,57,946
Male,57,455
Male,57,420
Male,57,515
Male,57,1095
Male,57,390
Male,58,29775
Male,58,356
Male,58,3113
Male,58,1278
Male,58,1600
Male,58,1445
Male,58,1349
Male,58,626
Male,58,529
Male,58,277
Male,58,834
Male,58,1198
Male,58,544
Male,58,567
Male,58,1042
Male,58,905
